rank,package,version,file_path,class_name,line_start,line_end,read_or_observer_method,mutated_state,later_read_or_branch,composition_or_threshold_site,candidate_strength,expected_behavior_difference,harness_feasibility,notes
1,httpcore,1.0.9,httpcore-1.0.9\httpcore\_models.py,Response,,,read,_content,response.read() changes later response.content from exception to bytes,,high,response.read() changes later response.content from exception to bytes,easy,source=expanded_queue_available_source; state_mutating_reader
31,dnspython,2.8.0,dnspython-2.8.0\dns\btree.py,BTree,613,,insert_element,"root,size",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
32,dnspython,2.8.0,dnspython-2.8.0\dns\resolver.py,BaseResolver,906,,read_resolv_conf,"domain,nameservers,ndots,rotate,search,timeout",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
33,dnspython,2.8.0,dnspython-2.8.0\dns\quic\_common.py,Buffer,30,,get,_buffer,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
34,dnspython,2.8.0,dnspython-2.8.0\dns\btree.py,Cursor,381,,prev,"current_index,current_node,increasing,parking_key,parking_key_read,recurse",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
35,dnspython,2.8.0,dnspython-2.8.0\dns\entropy.py,EntropyPool,26,,random_8,"digest,next_byte",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
36,dnspython,2.8.0,dnspython-2.8.0\dns\xfr.py,Inbound,56,,process_message,"delete_mode,done,expecting_SOA,incremental,serial,soa_rdataset,txn",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
37,dnspython,2.8.0,dnspython-2.8.0\dns\message.py,Message,143,,to_wire,"tsig_ctx,wire",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
38,dnspython,2.8.0,dnspython-2.8.0\dns\rdtypes\ANY\OPT.py,OPT,30,,__init__,options,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
39,dnspython,2.8.0,dnspython-2.8.0\dns\wire.py,Parser,11,,get_bytes,"current,furthest",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
40,dnspython,2.8.0,dnspython-2.8.0\dns\zonefile.py,Reader,88,,_generate_line,"last_name,last_ttl,last_ttl_known",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
41,dnspython,2.8.0,dnspython-2.8.0\dns\serial.py,Serial,6,,__iadd__,value,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
42,dnspython,2.8.0,dnspython-2.8.0\dns\tokenizer.py,Tokenizer,198,,_get_char,"eof,line_number,ungotten_char",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
43,dnspython,2.8.0,dnspython-2.8.0\dns\versioned.py,Zone,32,,writer,"_write_event,_write_txn",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
44,dnspython,2.8.0,dnspython-2.8.0\dns\btree.py,_Node,52,,split,"children,elts",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
45,dnspython,2.8.0,dnspython-2.8.0\dns\resolver.py,_Resolution,636,,next_request,"backoff,current_nameservers,errors,nameserver,nameservers,qname,request,retry_with_tcp,tcp_attempt",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
46,dnspython,2.8.0,dnspython-2.8.0\dns\message.py,_TextReader,1418,,read,"message,one_rr_per_rrset",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
47,dnspython,2.8.0,dnspython-2.8.0\dns\message.py,_WireReader,1111,,read,"message,one_rr_per_rrset",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
48,docutils,0.22.4,docutils-0.22.4\docutils\writers\latex2e\__init__.py,Babel,297,,__call__,setup,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
49,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Body,1181,,indent,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
50,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,BulletList,2657,,bullet,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
51,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Definition,3048,,indent,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
52,docutils,0.22.4,docutils-0.22.4\docutils\writers\manpage.py,EnumChar,406,,__next__,_cnt,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
53,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,EnumeratedList,2681,,enumerator,"auto,blank_finish,lastordinal,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
54,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Explicit,2785,,explicit_markup,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
55,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,FieldList,2705,,field_marker,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
56,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,Include,42,,run,"clip_options,settings,tab_width",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
57,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Inliner,571,,parse,"document,language,parent,reporter",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
58,docutils,0.22.4,docutils-0.22.4\docutils\io.py,Input,78,,decode,successful_encoding,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
59,docutils,0.22.4,docutils-0.22.4\docutils\writers\latex2e\__init__.py,LaTeXTranslator,1132,,pop_output_collector,out,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
60,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Line,3065,,eof,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
61,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\body.py,LineBlock,99,,run,content_offset,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
62,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,LineBlock,2769,,line_block,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
63,docutils,0.22.4,docutils-0.22.4\docutils\utils\math\mathml_elements.py,MathElement,60,,close,nchildren,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
64,docutils,0.22.4,docutils-0.22.4\docutils\utils\math\mathml_elements.py,MathSchema,250,,append,switch,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
65,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,MetaBody,571,,field_marker,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
66,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,NestedStateMachine,188,,run,"document,language,match_titles,memo,node,reporter",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
67,docutils,0.22.4,docutils-0.22.4\docutils\writers\odf_odt\__init__.py,ODFTranslator,776,,make_field_element,style_index,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
68,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,OptionList,2717,,option_marker,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
69,docutils,0.22.4,docutils-0.22.4\docutils\frontend.py,OptionParser,646,,get_config_file_settings,config_files,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
70,docutils,0.22.4,docutils-0.22.4\docutils\core.py,Publisher,37,,get_settings,settings,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
71,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,QuotedLiteralBlock,3188,,eof,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
72,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,RFC2822Body,2567,,rfc2822,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
73,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,RFC2822List,2732,,rfc2822,"blank_finish,parent",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
74,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,RSTState,221,,check_subsection,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
75,docutils,0.22.4,docutils-0.22.4\docutils\readers\__init__.py,Reader,29,,read,"input,parser,settings,source",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
76,docutils,0.22.4,docutils-0.22.4\docutils\utils\__init__.py,Reporter,52,,system_message,max_level,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
77,docutils,0.22.4,docutils-0.22.4\docutils\statemachine.py,StateMachine,119,,run,"current_state,input_lines,input_offset,line_offset,observers",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
78,docutils,0.22.4,docutils-0.22.4\docutils\io.py,StringOutput,648,,write,destination,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
79,docutils,0.22.4,docutils-0.22.4\docutils\writers\latex2e\__init__.py,Table,863,,get_colspecs,"_colwidths,_rowspan",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
80,docutils,0.22.4,docutils-0.22.4\docutils\parsers\rst\states.py,Text,2832,,blank,parent,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
81,docutils,0.22.4,docutils-0.22.4\docutils\transforms\__init__.py,Transformer,65,,get_priority_string,serialno,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
82,docutils,0.22.4,docutils-0.22.4\docutils\writers\manpage.py,Translator,210,,list_start,"_cnt,_indent,_style",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
83,docutils,0.22.4,docutils-0.22.4\docutils\statemachine.py,ViewList,1051,,__iadd__,data,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
84,docutils,0.22.4,docutils-0.22.4\docutils\writers\__init__.py,Writer,32,,write,"destination,document,language",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
85,docutils,0.22.4,docutils-0.22.4\docutils\writers\pep_html\__init__.py,Writer,20,,interpolation_dict,"pepnum,title",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
86,fastjsonschema,2.21.2,fastjsonschema-2.21.2\fastjsonschema\generator.py,CodeGenerator,17,,generate_func_code_block,_variables,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
87,filelock,3.29.0,filelock-3.29.0\src\filelock\_read_write.py,ReadWriteLock,99,,_validate_reentrant,_lock_level,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
88,filelock,3.29.0,filelock-3.29.0\src\filelock\_soft_rw\_sync.py,SoftReadWriteLock,129,,_acquire,_hold,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
89,flake8,7.3.0,flake8-7.3.0\src\flake8\processor.py,FileProcessor,31,,build_logical_line,logical_line,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
90,flask,3.1.3,flask-3.1.3\src\flask\app.py,Flask,81,,full_dispatch_request,_got_first_request,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
91,h11,0.16.0,h11-0.16.0\h11\_readers.py,ChunkedReader,148,,__call__,"_bytes_in_chunk,_bytes_to_discard,_reading_trailer",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
92,h11,0.16.0,h11-0.16.0\h11\_readers.py,ContentLengthReader,122,,__call__,_remaining,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
93,h11,0.16.0,h11-0.16.0\h11\_receivebuffer.py,ReceiveBuffer,47,,__iadd__,_data,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
94,h2,4.3.0,h2-4.3.0\src\h2\frame_buffer.py,FrameBuffer,26,,_update_header_buffer,_headers_buffer,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
95,h2,4.3.0,h2-4.3.0\src\h2\connection.py,H2Connection,274,,_begin_new_stream,"highest_inbound_stream_id,highest_outbound_stream_id",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
96,h2,4.3.0,h2-4.3.0\src\h2\connection.py,H2ConnectionStateMachine,109,,process_input,state,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
97,h2,4.3.0,h2-4.3.0\src\h2\stream.py,H2Stream,762,,send_headers,"_authority,request_method",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
98,h2,4.3.0,h2-4.3.0\src\h2\stream.py,H2StreamStateMachine,107,,process_input,state,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
