package,version,file_path,class_name,line_start,line_end,read_shaped_methods_or_properties,read_shaped_methods_mutate_state,observation_like_methods_mutate_state,mutated_state_consumed_by_later_reads,composition_or_threshold_visible,audit_label,evidence_note,code_snippet_or_lines
fastapi,0.139.0,fastapi-0.139.0\docs_src\server_sent_events\tutorial004_py310.py,Item,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"7:
8: app = FastAPI()
9:
10:
11: class Item(BaseModel):
12:     name: str
13:     price: float
14:
15:"
fastapi,0.139.0,fastapi-0.139.0\fastapi\openapi\models.py,Response,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"278:     description: str | None = None
279:     server: Server | None = None
280:
281:
282: class Response(BaseModelWithConfig):
283:     description: str
284:     headers: dict[str, Header | Reference] | None = None
285:     content: dict[str, MediaType] | None = None
286:     links: dict[str, Link | Reference] | None = None"
fastapi,0.139.0,fastapi-0.139.0\fastapi\security\http.py,HTTPBasicCredentials,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"12: from starlette.requests import Request
13: from starlette.status import HTTP_401_UNAUTHORIZED
14:
15:
16: class HTTPBasicCredentials(BaseModel):
17:     """"""
18:     The HTTP Basic credentials given as the result of using `HTTPBasic` in a
19:     dependency.
20:"
fastapi,0.139.0,fastapi-0.139.0\fastapi\sse.py,ServerSentEvent,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"48:         raise ValueError(""SSE 'id' must not contain null characters"")
49:     return _check_single_line(v, ""id"")
50:
51:
52: class ServerSentEvent(BaseModel):
53:     """"""Represents a single Server-Sent Event.
54:
55:     When `yield`ed from a *path operation function* that uses
56:     `response_class=EventSourceResponse`, each `ServerSentEvent` is encoded"
fastapi,0.139.0,fastapi-0.139.0\scripts\contributors.py,Labels,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"65: class LabelNode(BaseModel):
66:     name: str
67:
68:
69: class Labels(BaseModel):
70:     nodes: list[LabelNode]
71:
72:
73: class ReviewNode(BaseModel):"
fastapi,0.139.0,fastapi-0.139.0\scripts\people.py,DiscussionsComments,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"148:     minimizedReason: LowerStr | None = None
149:     replies: Replies
150:
151:
152: class DiscussionsComments(BaseModel):
153:     totalCount: int
154:     nodes: list[DiscussionsCommentsNode]
155:
156:"
hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\database.py,_EDMeta,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"109:     path = cast(StrPathT, path)
110:     return DirectoryBasedExampleDatabase(path)
111:
112:
113: class _EDMeta(abc.ABCMeta):
114:     def __call__(self, *args: Any, **kwargs: Any) -> ""ExampleDatabase"":
115:         if self is ExampleDatabase:
116:             note_deprecation(
117:                 ""Creating a database using the abstract ExampleDatabase() class """
hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\extra\codemods.py,HypothesisFixPositionalKeywonlyArgs,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"110:     mod, fn = import_path.rsplit(""."", 1)
111:     return getattr(importlib.import_module(mod), fn)
112:
113:
114: class HypothesisFixPositionalKeywonlyArgs(VisitorBasedCodemodCommand):
115:     """"""Fix positional arguments for newly keyword-only parameters, e.g.::
116:
117:         st.fractions(0, 1, 9) -> st.fractions(0, 1, max_denominator=9)
118:"
hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\extra\django\_impl.py,SimpleTestCase,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"40:         else:
41:             return dt.SimpleTestCase.__call__(self, result)
42:
43:
44: class SimpleTestCase(HypothesisTestCase, dt.SimpleTestCase):
45:     pass
46:
47:
48: class TestCase(HypothesisTestCase, dt.TestCase):"
hypothesis,6.155.7,hypothesis-6.155.7\src\hypothesis\internal\conjecture\data.py,_starts_and_ends,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"344:         else:
345:             self.trail.append(TrailType.STOP_SPAN_NO_DISCARD)
346:
347:
348: class _starts_and_ends(SpanProperty):
349:     def __init__(self, spans: ""Spans"") -> None:
350:         super().__init__(spans)
351:         self.starts = IntList.of_length(len(self.spans))
352:         self.ends = IntList.of_length(len(self.spans))"
ipython,9.15.0,ipython-9.15.0\IPython\core\autocall.py,ExitAutocall,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"47:         """"""
48:         self._ip = ip
49:
50:
51: class ExitAutocall(IPyAutocall):
52:     """"""An autocallable object which will be added to the user namespace so that
53:     exit, exit(), quit or quit() are all valid ways to close the shell.""""""
54:     rewrite = False
55:"
ipython,9.15.0,ipython-9.15.0\IPython\core\display.py,Latex,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"473:         else:
474:             return s
475:
476:
477: class Latex(TextDisplayObject):
478:
479:     def _repr_latex_(self):
480:         return self._data_and_metadata()
481:"
ipython,9.15.0,ipython-9.15.0\IPython\core\formatters.py,DisplayFormatter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"86:
87: from typing import Any
88:
89:
90: class DisplayFormatter(Configurable):
91:
92:     active_types = List(Unicode(),
93:         help=""""""List of currently active mime-types to display.
94:         You can use this to set a white-list for formats to display."
ipython,9.15.0,ipython-9.15.0\IPython\core\magics\code.py,InteractivelyDefined,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"167:     for line in it:
168:         yield line
169:
170:
171: class InteractivelyDefined(Exception):
172:     """"""Exception for interactively defined variable in magic_edit""""""
173:     def __init__(self, index):
174:         self.index = index
175:"
ipython,9.15.0,ipython-9.15.0\IPython\utils\PyColorize.py,MyStyle,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"63:             base_styles = get_style_by_name(self.base).styles
64:         else:
65:             base_styles = {}
66:
67:         class MyStyle(Style):
68:             styles = {**base_styles, **self.extra_style}
69:
70:         return MyStyle
71:"
isort,8.0.1,isort-8.0.1\isort\io.py,_EmptyIO,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"64:             if stream is not None:
65:                 stream.close()
66:
67:
68: class _EmptyIO(StringIO):
69:     def write(self, *args: Any, **kwargs: Any) -> None:  # type: ignore # skipcq: PTC-W0049
70:         pass
71:
72:"
jedi,0.20.0,jedi-0.20.0\jedi\api\classes.py,ParamName,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"856:             self._signature.to_string(),
857:         )
858:
859:
860: class ParamName(Name):
861:     def infer_default(self):
862:         """"""
863:         Returns default values like the ``1`` of ``def foo(x=1):``.
864:"
jedi,0.20.0,jedi-0.20.0\jedi\inference\context.py,ModuleContext,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"314:             origin_scope=origin_scope
315:         )
316:
317:
318: class ModuleContext(TreeContextMixin, ValueContext):
319:     def py__file__(self) -> Optional[Path]:
320:         return self._value.py__file__()  # type: ignore[no-any-return]
321:
322:     def get_filters(self, until_position=None, origin_scope=None):"
jedi,0.20.0,jedi-0.20.0\jedi\plugins\stdlib.py,PartialSignature,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"535:             return ValueSet([self])
536:         return ValueSet([PartialObject(self._wrapped_value, self._arguments, instance)])
537:
538:
539: class PartialSignature(SignatureWrapper):
540:     def __init__(self, wrapped_signature, skipped_arg_count, skipped_arg_set):
541:         super().__init__(wrapped_signature)
542:         self._skipped_arg_count = skipped_arg_count
543:         self._skipped_arg_set = skipped_arg_set"
lxml,6.1.1,lxml\html\__init__.py,InputGetter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1145:             self.__class__.__name__,
1146:             self.inputs.form._name())
1147:
1148:
1149: class InputGetter:
1150:
1151:     """"""
1152:     An accessor that represents all the input fields in a form.
1153:"
lxml,6.1.1,lxml\html\diff.py,InsensitiveSequenceMatcher,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"947:
948:
949: @cython.final
950: @cython.cclass
951: class InsensitiveSequenceMatcher(SequenceMatcher):
952:     """"""
953:     Acts like SequenceMatcher, but tries not to find very small equal
954:     blocks amidst large spans of changes
955:     """""""
mpmath,1.4.1,mpmath-1.4.1\mpmath\_interactive.py,_WrapFloats,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"27:                             [node.left, node.right], [])
28:         return self.generic_visit(node)
29:
30:
31: class _WrapFloats(ast.NodeTransformer):
32:     """"""Wrap float literals by calls to specified type.""""""
33:     def __init__(self, lines, type):
34:         super().__init__()
35:         self.lines = lines"
networkx,3.6.1,networkx-3.6.1\networkx\algorithms\coloring\greedy_coloring.py,_Node,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"375:     return colors
376:
377:
378: # Tools for coloring with interchanges
379: class _Node:
380:     __slots__ = [""node_id"", ""color"", ""adj_list"", ""adj_color""]
381:
382:     def __init__(self, node_id, n):
383:         self.node_id = node_id"
networkx,3.6.1,networkx-3.6.1\networkx\algorithms\isomorphism\temporalisomorphvf2.py,TimeRespectingDiGraphMatcher,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"140:         # Otherwise, this node is semantically feasible!
141:         return True
142:
143:
144: class TimeRespectingDiGraphMatcher(DiGraphMatcher):
145:     def __init__(self, G1, G2, temporal_attribute_name, delta):
146:         """"""Initialize TimeRespectingDiGraphMatcher.
147:
148:         G1 and G2 should be nx.DiGraph or nx.MultiDiGraph instances."
networkx,3.6.1,networkx-3.6.1\networkx\readwrite\graphml.py,GraphMLWriter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"459:                 f""GraphML does not support type {key} as data values.""
460:             ) from err
461:
462:
463: class GraphMLWriter(GraphML):
464:     def __init__(
465:         self,
466:         graph=None,
467:         encoding=""utf-8"","
parso,0.8.7,parso-0.8.7\parso\python\diff.py,_PositionUpdatingFinished,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"229:         return False
230:     return value in ('if', 'for', 'while', 'try', 'with')
231:
232:
233: class _PositionUpdatingFinished(Exception):
234:     pass
235:
236:
237: def _update_positions(nodes, line_offset, last_leaf):"
parso,0.8.7,parso-0.8.7\parso\tree.py,BaseNode,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"358:         super().__init__(value, start_pos, prefix)
359:         self.type = type
360:
361:
362: class BaseNode(NodeOrLeaf):
363:     """"""
364:     The super class for all nodes.
365:     A node has children, a type and possibly a parent node.
366:     """""""
prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\completion\filesystem.py,ExecutableCompleter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"102:         except OSError:
103:             pass
104:
105:
106: class ExecutableCompleter(PathCompleter):
107:     """"""
108:     Complete only executable files in the current path.
109:     """"""
110:"
prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\layout\containers.py,MagicContainer,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"151:
152:
153: if TYPE_CHECKING:
154:
155:     class MagicContainer(Protocol):
156:         """"""
157:         Any object that implements ``__pt_container__`` represents a container.
158:         """"""
159:"
prompt-toolkit,3.0.52,prompt_toolkit-3.0.52\src\prompt_toolkit\utils.py,Event,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"41:
42: _Sender = TypeVar(""_Sender"", covariant=True)
43:
44:
45: class Event(Generic[_Sender]):
46:     """"""
47:     Simple event to which event handlers can be attached. For instance::
48:
49:         class Cls:"
pydantic,2.13.4,pydantic-2.13.4\pydantic\_internal\_utils.py,SafeGetItemProxy,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"377:     return a if a is not None else b
378:
379:
380: @dataclasses.dataclass(frozen=True)
381: class SafeGetItemProxy:
382:     """"""Wrapper redirecting `__getitem__` to `get` with a sentinel value as default
383:
384:     This makes is safe to use in `operator.itemgetter` when some keys may be missing
385:     """""""
pydantic,2.13.4,pydantic-2.13.4\pydantic\experimental\pipeline.py,_NotEq,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"72:     value: Any
73:
74:
75: @dataclass(**_slots_frozen)
76: class _NotEq:
77:     value: Any
78:
79:
80: @dataclass(**_slots_frozen)"
pydantic,2.13.4,pydantic-2.13.4\pydantic\types.py,_AllowAnyJson,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"3174:     # Fail by returning the type's actual name
3175:     return getattr(type_, '__name__', '<no type name>')
3176:
3177:
3178: class _AllowAnyJson:
3179:     @classmethod
3180:     def __get_pydantic_core_schema__(cls, source_type: Any, handler: GetCoreSchemaHandler) -> CoreSchema:
3181:         python_schema = handler(source_type)
3182:         return core_schema.json_or_python_schema(json_schema=core_schema.any_schema(), python_schema=python_schema)"
pydantic,2.13.4,pydantic-2.13.4\pydantic\v1\errors.py,InvalidLengthForBrand,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"612:     code = 'payment_card_number.luhn_check'
613:     msg_template = 'card number is not luhn valid'
614:
615:
616: class InvalidLengthForBrand(PydanticValueError):
617:     code = 'payment_card_number.invalid_length_for_brand'
618:     msg_template = 'Length for a {brand} card must be {required_length}'
619:
620:"
pytest,9.1.1,pytest-9.1.1\src\_pytest\cacheprovider.py,NFPlugin,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"422:         if saved_lastfailed != self.lastfailed:
423:             config.cache.set(""cache/lastfailed"", self.lastfailed)
424:
425:
426: class NFPlugin:
427:     """"""Plugin which implements the --nf (run new-first) option.""""""
428:
429:     def __init__(self, config: Config) -> None:
430:         self.config = config"
pytest,9.1.1,pytest-9.1.1\src\_pytest\runner.py,SetupState,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"435:     rep.call = call  # type: ignore # see collect_one_node
436:     return rep
437:
438:
439: class SetupState:
440:     """"""Shared state for setting up/tearing down test items or collectors
441:     in a session.
442:
443:     Suppose we have a collection tree as follows:"
python-dateutil,2.9.0.post0,python-dateutil-2.9.0.post0\src\dateutil\tz\tz.py,tzlocal,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"197:
198:     __reduce__ = object.__reduce__
199:
200:
201: class tzlocal(_tzinfo):
202:     """"""
203:     A :class:`tzinfo` subclass built around the ``time`` timezone functions.
204:     """"""
205:     def __init__(self):"
python-dateutil,2.9.0.post0,python-dateutil-2.9.0.post0\src\dateutil\tz\win.py,tzwin,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"198:     def _dst_base_offset(self):
199:         return self._dst_base_offset_
200:
201:
202: class tzwin(tzwinbase):
203:     """"""
204:     Time zone object created from the zone info in the Windows registry
205:
206:     These are similar to :py:class:`dateutil.tz.tzrange` objects in that"
