sweep_rank,package,version,class_name,file_path,selected_score,attempted_runnable_harness,classification,reproduced,output_diff,branch_flip,state_diff,operation_A,operation_B,result_A_summary,result_B_summary,failure_reason,notes,harness_path,json_output_path
11,beautifulsoup4,4.14.3,PageElement,beautifulsoup4-4.14.3\bs4\element.py,10,True,structural_only_no_runtime_difference,False,False,False,False,extract() once on fresh instance,extract() once first; then extract() again,"{""after"": {}, ""before"": {}, ""result"": {""kind"": ""exception"", ""message"": ""'PageElement' object has no attribute 'parent'"", ""type"": ""AttributeError""}}","{""after"": {}, ""after_observation"": {}, ""before"": {}, ""observation_result"": {""kind"": ""exception"", ""message"": ""'PageElement' object has no attribute 'parent'"", ""type"": ""AttributeError""}, ""result"": {""kind"": ""exception"", ""message"": ""'PageElement' object has no attribute 'parent'"", ""type"": ""AttributeE...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_11_beautifulsoup4_PageElement.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_11_beautifulsoup4_PageElement.json
12,boltons,25.0.0,LRI,boltons-25.0.0\boltons\cacheutils.py,10,True,structural_only_no_runtime_difference,False,False,False,False,_set_key_and_evict_last_in_ll() once on fresh instance,_set_key_and_evict_last_in_ll() once first; then _set_key_and_evict_last_in_ll() again,"{""after"": {""_anchor"": ""[[...], [...], _MISSING, _MISSING]"", ""_link_lookup"": ""{}"", ""_lock"": ""<unlocked _thread.RLock object owner=0 count=0 at 0xADDR>"", ""hit_count"": ""0"", ""max_size"": ""128"", ""miss_count"": ""0"", ""on_miss"": ""None"", ""soft_miss_count"": ""0""}, ""before"": {""_anchor"": ""[[...], [...], _MISSIN...","{""after"": {""_anchor"": ""[[...], [...], _MISSING, _MISSING]"", ""_link_lookup"": ""{}"", ""_lock"": ""<unlocked _thread.RLock object owner=0 count=0 at 0xADDR>"", ""hit_count"": ""0"", ""max_size"": ""128"", ""miss_count"": ""0"", ""on_miss"": ""None"", ""soft_miss_count"": ""0""}, ""after_observation"": {""_anchor"": ""[[...], [.....",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_12_boltons_LRI.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_12_boltons_LRI.json
13,boltons,25.0.0,LRU,boltons-25.0.0\boltons\cacheutils.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__getitem__() once on fresh instance,__getitem__() once first; then __getitem__() again,"{""after"": {""_anchor"": ""[[...], [...], _MISSING, _MISSING]"", ""_link_lookup"": ""{}"", ""_lock"": ""<unlocked _thread.RLock object owner=0 count=0 at 0xADDR>"", ""hit_count"": ""0"", ""max_size"": ""128"", ""miss_count"": ""0"", ""on_miss"": ""None"", ""soft_miss_count"": ""0""}, ""before"": {""_anchor"": ""[[...], [...], _MISSIN...","{""after"": {""_anchor"": ""[[...], [...], _MISSING, _MISSING]"", ""_link_lookup"": ""{}"", ""_lock"": ""<unlocked _thread.RLock object owner=0 count=0 at 0xADDR>"", ""hit_count"": ""0"", ""max_size"": ""128"", ""miss_count"": ""0"", ""on_miss"": ""None"", ""soft_miss_count"": ""0""}, ""after_observation"": {""_anchor"": ""[[...], [.....",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_13_boltons_LRU.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_13_boltons_LRU.json
14,boltons,25.0.0,MultiFileReader,boltons-25.0.0\boltons\ioutils.py,10,True,structural_only_no_runtime_difference,False,False,False,False,read() once on fresh instance,read() once first; then read() again,"{""after"": {""_fileobjs"": ""()"", ""_index"": ""0"", ""_joiner"": ""''""}, ""before"": {""_fileobjs"": ""()"", ""_index"": ""0"", ""_joiner"": ""''""}, ""result"": {""kind"": ""value"", ""value"": ""''""}}","{""after"": {""_fileobjs"": ""()"", ""_index"": ""0"", ""_joiner"": ""''""}, ""after_observation"": {""_fileobjs"": ""()"", ""_index"": ""0"", ""_joiner"": ""''""}, ""before"": {""_fileobjs"": ""()"", ""_index"": ""0"", ""_joiner"": ""''""}, ""observation_result"": {""kind"": ""value"", ""value"": ""''""}, ""result"": {""kind"": ""value"", ""value"": ""''""}}",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_14_boltons_MultiFileReader.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_14_boltons_MultiFileReader.json
15,boltons,25.0.0,SpooledStringIO,boltons-25.0.0\boltons\ioutils.py,10,True,confirmed_state_divergence_only,True,False,False,True,read() once on fresh instance,read() once first; then read() again,"{""after"": {""_buffer"": ""<codecs.StreamRecoder object at 0xADDR>"", ""_dir"": ""None"", ""_max_size"": ""5000000"", ""_tell"": ""0""}, ""before"": {""_dir"": ""None"", ""_max_size"": ""5000000"", ""_tell"": ""0""}, ""result"": {""kind"": ""value"", ""value"": ""''""}}","{""after"": {""_buffer"": ""<codecs.StreamRecoder object at 0xADDR>"", ""_dir"": ""None"", ""_max_size"": ""5000000"", ""_tell"": ""0""}, ""after_observation"": {""_buffer"": ""<codecs.StreamRecoder object at 0xADDR>"", ""_dir"": ""None"", ""_max_size"": ""5000000"", ""_tell"": ""0""}, ""before"": {""_dir"": ""None"", ""_max_size"": ""50000...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_15_boltons_SpooledStringIO.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_15_boltons_SpooledStringIO.json
16,cerberus,1.3.8,BareValidator,cerberus-1.3.8\cerberus\validator.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__normalize_mapping() once on fresh instance,__normalize_mapping() once first; then __normalize_mapping() again,"{""after"": {""_config"": ""{'allow_unknown': False, 'require_all': False}"", ""_errors"": ""[]"", ""_remaining_rules"": ""[]"", ""_schema"": ""None"", ""document"": ""None"", ""document_error_tree"": ""[],{}"", ""document_path"": ""()"", ""error_handler"": ""<cerberus.errors.BasicErrorHandler object at 0xADDR>"", ""recent_error"":...","{""after"": {""_config"": ""{'allow_unknown': False, 'require_all': False}"", ""_errors"": ""[]"", ""_remaining_rules"": ""[]"", ""_schema"": ""None"", ""document"": ""None"", ""document_error_tree"": ""[],{}"", ""document_path"": ""()"", ""error_handler"": ""<cerberus.errors.BasicErrorHandler object at 0xADDR>"", ""recent_error"":...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_16_cerberus_BareValidator.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_16_cerberus_BareValidator.json
17,click-option-group,0.5.9,_OptGroup,click_option_group-0.5.9\src\click_option_group\_decorators.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__call__() once on fresh instance,__call__() once first; then __call__() again,"{""after"": {""_decorating_state"": ""defaultdict(<class 'list'>, {})"", ""_not_attached_options"": ""defaultdict(<class 'list'>, {})"", ""_outer_frame_index"": ""1""}, ""before"": {""_decorating_state"": ""defaultdict(<class 'list'>, {})"", ""_not_attached_options"": ""defaultdict(<class 'list'>, {})"", ""_outer_frame_i...","{""after"": {""_decorating_state"": ""defaultdict(<class 'list'>, {})"", ""_not_attached_options"": ""defaultdict(<class 'list'>, {})"", ""_outer_frame_index"": ""1""}, ""after_observation"": {""_decorating_state"": ""defaultdict(<class 'list'>, {})"", ""_not_attached_options"": ""defaultdict(<class 'list'>, {})"", ""_ou...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_17_click_option_group_OptGroup.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_17_click_option_group_OptGroup.json
18,dnspython,2.8.0,BTree,dnspython-2.8.0\dns\btree.py,10,True,structural_only_no_runtime_difference,False,False,False,False,insert_element() once on fresh instance,insert_element() once first; then insert_element() again,"{""after"": {""_immutable"": ""False"", ""creator"": ""<dns.btree._Creator object at 0xADDR>"", ""cursors"": ""set()"", ""root"": ""<dns.btree._Node object at 0xADDR>"", ""size"": ""0"", ""t"": ""127""}, ""before"": {""_immutable"": ""False"", ""creator"": ""<dns.btree._Creator object at 0xADDR>"", ""cursors"": ""set()"", ""root"": ""<dns...","{""after"": {""_immutable"": ""False"", ""creator"": ""<dns.btree._Creator object at 0xADDR>"", ""cursors"": ""set()"", ""root"": ""<dns.btree._Node object at 0xADDR>"", ""size"": ""0"", ""t"": ""127""}, ""after_observation"": {""_immutable"": ""False"", ""creator"": ""<dns.btree._Creator object at 0xADDR>"", ""cursors"": ""set()"", ""r...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_18_dnspython_BTree.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_18_dnspython_BTree.json
19,dnspython,2.8.0,EntropyPool,dnspython-2.8.0\dns\entropy.py,10,True,not_applicable_after_inspection,False,False,False,False,,,{},{},method name treated as nondeterministic: random_8,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_19_dnspython_EntropyPool.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_19_dnspython_EntropyPool.json
20,dnspython,2.8.0,Message,dnspython-2.8.0\dns\message.py,10,True,not_applicable_after_inspection,False,False,False,False,,,{},{},fresh instances were not comparable under canonical state snapshot,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_20_dnspython_Message.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_20_dnspython_Message.json
21,dnspython,2.8.0,Buffer,dnspython-2.8.0\dns\quic\_common.py,10,True,import_failed,False,False,False,False,,,{},{},import_failed: ModuleNotFoundError: No module named 'aioquic',generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_21_dnspython_Buffer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_21_dnspython_Buffer.json
22,dnspython,2.8.0,Tokenizer,dnspython-2.8.0\dns\tokenizer.py,10,True,confirmed_state_divergence_only,True,False,False,True,_get_char() once on fresh instance,_get_char() once first; then _get_char() again,"{""after"": {""delimiters"": ""{')', '\\n', '(', ' ', '\""', ';', '\\t'}"", ""eof"": ""True"", ""file"": ""<_io.TextIOWrapper name='<stdin>' mode='r' encoding='cp1252'>"", ""filename"": ""'<stdin>'"", ""idna_codec"": ""<dns.name.IDNA2003Codec object at 0xADDR>"", ""line_number"": ""1"", ""multiline"": ""0"", ""quoting"": ""False""...","{""after"": {""delimiters"": ""{')', '\\n', '(', ' ', '\""', ';', '\\t'}"", ""eof"": ""True"", ""file"": ""<_io.TextIOWrapper name='<stdin>' mode='r' encoding='cp1252'>"", ""filename"": ""'<stdin>'"", ""idna_codec"": ""<dns.name.IDNA2003Codec object at 0xADDR>"", ""line_number"": ""1"", ""multiline"": ""0"", ""quoting"": ""False""...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_22_dnspython_Tokenizer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_22_dnspython_Tokenizer.json
23,docutils,0.22.4,Publisher,docutils-0.22.4\docutils\core.py,10,True,confirmed_state_divergence_only,True,False,False,True,get_settings() once on fresh instance,get_settings() once first; then get_settings() again,"{""after"": {""_stderr"": ""<docutils.io.ErrorOutput object at 0xADDR>"", ""destination"": ""None"", ""destination_class"": ""<class 'docutils.io.FileOutput'>"", ""document"": ""None"", ""parser"": ""None"", ""reader"": ""None"", ""settings"": ""<Values at 0xADDR: {'output_path': None, 'title': None, 'generator': None, 'date...","{""after"": {""_stderr"": ""<docutils.io.ErrorOutput object at 0xADDR>"", ""destination"": ""None"", ""destination_class"": ""<class 'docutils.io.FileOutput'>"", ""document"": ""None"", ""parser"": ""None"", ""reader"": ""None"", ""settings"": ""<Values at 0xADDR: {'output_path': None, 'title': None, 'generator': None, 'date...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_23_docutils_Publisher.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_23_docutils_Publisher.json
24,docutils,0.22.4,OptionParser,docutils-0.22.4\docutils\frontend.py,10,True,structural_only_no_runtime_difference,False,False,False,False,get_config_file_settings() once on fresh instance,get_config_file_settings() once first; then get_config_file_settings() again,"{""after"": {""_long_opt"": ""{'--output-path': <Option at 0xADDR: --output-path/--output>, '--output': <Option at 0xADDR: --output-path/--output>, '--title': <Option at 0xADDR: --title>,..."", ""_short_opt"": ""{'-g': <Option at 0xADDR: -g/--generator>, '-d': <Option at 0xADDR: -d/--date>, '-t': <Option ...","{""after"": {""_long_opt"": ""{'--output-path': <Option at 0xADDR: --output-path/--output>, '--output': <Option at 0xADDR: --output-path/--output>, '--title': <Option at 0xADDR: --title>,..."", ""_short_opt"": ""{'-g': <Option at 0xADDR: -g/--generator>, '-d': <Option at 0xADDR: -d/--date>, '-t': <Option ...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_24_docutils_OptionParser.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_24_docutils_OptionParser.json
25,docutils,0.22.4,Input,docutils-0.22.4\docutils\io.py,10,True,structural_only_no_runtime_difference,False,False,False,False,decode() once on fresh instance,decode() once first; then decode() again,"{""after"": {""encoding"": ""'utf-8'"", ""error_handler"": ""'strict'"", ""source"": ""None"", ""source_path"": ""None"", ""successful_encoding"": ""None""}, ""before"": {""encoding"": ""'utf-8'"", ""error_handler"": ""'strict'"", ""source"": ""None"", ""source_path"": ""None"", ""successful_encoding"": ""None""}, ""result"": {""kind"": ""not_c...","{""after"": {""encoding"": ""'utf-8'"", ""error_handler"": ""'strict'"", ""source"": ""None"", ""source_path"": ""None"", ""successful_encoding"": ""None""}, ""after_observation"": {""encoding"": ""'utf-8'"", ""error_handler"": ""'strict'"", ""source"": ""None"", ""source_path"": ""None"", ""successful_encoding"": ""None""}, ""before"": {""en...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_25_docutils_Input.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_25_docutils_Input.json
26,docutils,0.22.4,StringOutput,docutils-0.22.4\docutils\io.py,10,True,unsafe_to_execute,False,False,False,False,,,{},{},method name treated as unsafe: write,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_26_docutils_StringOutput.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_26_docutils_StringOutput.json
27,docutils,0.22.4,LineBlock,docutils-0.22.4\docutils\parsers\rst\directives\body.py,10,True,could_not_construct,False,False,False,False,,,{},{},"constructor requires arguments: name, arguments, options, content, lineno, content_offset, block_text, state, state_machine",generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_27_docutils_LineBlock.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_27_docutils_LineBlock.json
28,docutils,0.22.4,Include,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,10,True,could_not_construct,False,False,False,False,,,{},{},"constructor requires arguments: name, arguments, options, content, lineno, content_offset, block_text, state, state_machine",generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_28_docutils_Include.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_28_docutils_Include.json
29,docutils,0.22.4,MetaBody,docutils-0.22.4\docutils\parsers\rst\directives\misc.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_29_docutils_MetaBody.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_29_docutils_MetaBody.json
30,docutils,0.22.4,Body,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_30_docutils_Body.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_30_docutils_Body.json
31,docutils,0.22.4,BulletList,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_31_docutils_BulletList.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_31_docutils_BulletList.json
32,docutils,0.22.4,Definition,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_32_docutils_Definition.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_32_docutils_Definition.json
33,docutils,0.22.4,EnumeratedList,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_33_docutils_EnumeratedList.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_33_docutils_EnumeratedList.json
34,docutils,0.22.4,Explicit,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_34_docutils_Explicit.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_34_docutils_Explicit.json
35,docutils,0.22.4,FieldList,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_35_docutils_FieldList.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_35_docutils_FieldList.json
36,docutils,0.22.4,Inliner,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,structural_only_no_runtime_difference,False,False,False,False,parse() once on fresh instance,parse() once first; then parse() again,"{""after"": {""implicit_dispatch"": ""[]""}, ""before"": {""implicit_dispatch"": ""[]""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""text"", ""lineno"", ""memo"", ""parent""]}}","{""after"": {""implicit_dispatch"": ""[]""}, ""after_observation"": {""implicit_dispatch"": ""[]""}, ""before"": {""implicit_dispatch"": ""[]""}, ""observation_result"": {""kind"": ""not_callable_without_args"", ""required"": [""text"", ""lineno"", ""memo"", ""parent""]}, ""result"": {""kind"": ""not_callable_without_args"", ""required""...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_36_docutils_Inliner.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_36_docutils_Inliner.json
